Kolczyk; data urodzenia; p³eæ; waga; nr kojca; id rasy
PL-0012-1228; 2010-07-02; nie; 90; 12; 3
PL-0012-1229; 2010-08-10; nie; 67; 10; 11
PL-0012-1230; 2010-08-14; tak; 110; 6; 13
PL-0012-1231; 2010-08-05; nie; 117; 15; 19
PL-0012-1232; 2010-09-03; tak; 61; 13; 16
PL-0012-1233; 2010-06-30; nie; 114; 16; 15
PL-0012-1234; 2010-06-03; nie; 113; 7; 22
PL-0012-1235; 2010-06-20; nie; 117; 15; 5
PL-0012-1236; 2010-07-13; nie; 104; 5; 19
PL-0012-1237; 2010-08-08; tak; 103; 15; 3
PL-0012-1238; 2010-06-12; tak; 90; 10; 18
PL-0012-1239; 2010-08-06; nie; 68; 2; 2
PL-0012-1240; 2010-09-02; nie; 107; 14; 5
PL-0012-1241; 2010-08-09; nie; 63; 10; 10
PL-0012-1242; 2010-07-12; nie; 111; 7; 13
PL-0012-1243; 2010-08-31; tak; 98; 16; 22
PL-0012-1244; 2010-08-24; tak; 89; 4; 11
PL-0012-1245; 2010-08-29; nie; 89; 20; 13
PL-0012-1246; 2010-08-27; tak; 71; 1; 6
PL-0012-1247; 2010-08-11; tak; 75; 7; 15
PL-0012-1248; 2010-06-04; tak; 79; 21; 10
PL-0012-1249; 2010-07-20; nie; 74; 11; 9
PL-0012-1250; 2010-08-10; nie; 113; 7; 4
PL-0012-1251; 2010-08-22; nie; 83; 13; 17
PL-0012-1252; 2010-08-17; nie; 86; 6; 5
PL-0012-1253; 2010-07-29; tak; 113; 8; 2
PL-0012-1254; 2010-07-07; nie; 115; 7; 8
PL-0012-1255; 2010-08-07; tak; 60; 12; 21
PL-0012-1256; 2010-06-25; tak; 60; 13; 17
PL-0012-1257; 2010-08-02; tak; 94; 7; 5
PL-0012-1258; 2010-06-06; tak; 80; 11; 15
PL-0012-1259; 2010-06-20; nie; 105; 17; 4
PL-0012-1260; 2010-07-25; tak; 89; 4; 11
PL-0012-1261; 2010-06-19; nie; 74; 9; 5
PL-0012-1262; 2010-09-02; tak; 110; 12; 10
PL-0012-1263; 2010-08-21; tak; 112; 17; 9
PL-0012-1264; 2010-06-17; nie; 65; 8; 15
PL-0012-1265; 2010-07-13; nie; 97; 20; 20
PL-0012-1266; 2010-07-06; nie; 82; 7; 9
PL-0012-1267; 2010-06-23; nie; 88; 1; 16
PL-0012-1268; 2010-06-12; tak; 115; 11; 4
PL-0012-1269; 2010-07-24; tak; 109; 17; 21
PL-0012-1270; 2010-08-25; tak; 65; 2; 2
PL-0012-1271; 2010-08-03; nie; 84; 10; 17
PL-0012-1272; 2010-06-21; tak; 96; 18; 18
PL-0012-1273; 2010-09-06; nie; 95; 12; 9
PL-0012-1274; 2010-09-04; nie; 69; 17; 13
PL-0012-1275; 2010-07-07; nie; 85; 20; 1
PL-0012-1276; 2010-08-31; tak; 83; 9; 8
PL-0012-1277; 2010-07-12; nie; 113; 18; 4
PL-0012-1278; 2010-08-09; tak; 91; 10; 17
PL-0012-1279; 2010-06-14; tak; 68; 7; 18
PL-0012-1280; 2010-06-08; nie; 76; 16; 15
PL-0012-1281; 2010-06-19; tak; 67; 16; 12
PL-0012-1282; 2010-08-16; tak; 113; 14; 16
PL-0012-1283; 2010-08-29; nie; 97; 16; 11
PL-0012-1284; 2010-06-12; nie; 97; 20; 9
PL-0012-1285; 2010-07-22; tak; 98; 17; 11
PL-0012-1286; 2010-08-16; tak; 77; 7; 18
PL-0012-1287; 2010-08-22; tak; 65; 20; 9
PL-0012-1288; 2010-07-21; tak; 88; 20; 4
PL-0012-1289; 2010-06-16; nie; 61; 4; 12
PL-0012-1290; 2010-07-13; nie; 73; 19; 15
PL-0012-1291; 2010-06-14; nie; 80; 13; 13
PL-0012-1292; 2010-07-23; nie; 102; 17; 12
PL-0012-1293; 2010-07-28; nie; 119; 4; 14
PL-0012-1294; 2010-06-09; tak; 77; 21; 14
PL-0012-1295; 2010-09-03; tak; 98; 21; 2
PL-0012-1296; 2010-08-12; nie; 109; 5; 4
PL-0012-1297; 2010-08-06; tak; 114; 17; 8
PL-0012-1298; 2010-08-29; nie; 78; 14; 3
PL-0012-1299; 2010-06-24; nie; 110; 21; 9
PL-0012-1300; 2010-09-02; nie; 107; 12; 7
PL-0012-1301; 2010-08-01; nie; 88; 13; 8
PL-0012-1302; 2010-06-11; tak; 76; 22; 20
PL-0012-1303; 2010-07-03; tak; 76; 7; 17
PL-0012-1304; 2010-08-16; nie; 113; 17; 10
PL-0012-1305; 2010-08-15; tak; 65; 16; 10
PL-0012-1306; 2010-08-10; nie; 85; 5; 19
PL-0012-1307; 2010-09-08; tak; 113; 17; 21
PL-0012-1308; 2010-06-22; tak; 64; 21; 11
PL-0012-1309; 2010-08-09; nie; 117; 18; 3
PL-0012-1310; 2010-09-04; tak; 62; 6; 12
PL-0012-1311; 2010-07-10; nie; 89; 7; 20
PL-0012-1312; 2010-09-06; nie; 99; 9; 22
PL-0012-1313; 2010-08-28; tak; 69; 18; 17
PL-0012-1314; 2010-07-11; nie; 110; 8; 4
PL-0012-1315; 2010-07-28; tak; 71; 20; 5
PL-0012-1316; 2010-08-20; nie; 104; 12; 4
PL-0012-1317; 2010-07-25; tak; 72; 15; 7
PL-0012-1318; 2010-08-31; tak; 100; 8; 18
PL-0012-1319; 2010-08-21; tak; 85; 7; 4
PL-0012-1320; 2010-06-29; tak; 114; 18; 12
PL-0012-1321; 2010-06-05; nie; 113; 10; 12
PL-0012-1322; 2010-06-07; nie; 105; 21; 18
PL-0012-1323; 2010-08-24; tak; 99; 6; 4
PL-0012-1324; 2010-07-11; nie; 108; 19; 3
PL-0012-1325; 2010-08-04; nie; 79; 19; 21
PL-0012-1326; 2010-08-12; nie; 115; 13; 20
PL-0012-1327; 2010-06-05; nie; 86; 5; 12
PL-0012-1328; 2010-07-16; nie; 97; 18; 17
PL-0012-1329; 2010-07-03; nie; 88; 4; 17
PL-0012-1330; 2010-08-15; tak; 77; 21; 15
PL-0012-1331; 2010-07-24; tak; 90; 15; 12
PL-0012-1332; 2010-08-09; nie; 87; 5; 5
PL-0012-1333; 2010-06-13; tak; 87; 13; 6
PL-0012-1334; 2010-09-04; nie; 99; 10; 18
PL-0012-1335; 2010-08-05; nie; 95; 4; 8
PL-0012-1336; 2010-07-05; tak; 105; 10; 4
PL-0012-1337; 2010-06-02; tak; 108; 2; 12
PL-0012-1338; 2010-06-13; nie; 83; 6; 7
PL-0012-1339; 2010-07-28; tak; 82; 4; 11
PL-0012-1340; 2010-08-05; tak; 86; 9; 22
PL-0012-1341; 2010-08-13; tak; 91; 20; 11
PL-0012-1342; 2010-08-17; nie; 72; 9; 8
PL-0012-1343; 2010-09-05; tak; 68; 20; 6
PL-0012-1344; 2010-06-09; tak; 99; 10; 12
PL-0012-1345; 2010-08-02; nie; 78; 7; 17
PL-0012-1346; 2010-07-18; tak; 116; 14; 7
PL-0012-1347; 2010-06-01; tak; 95; 20; 13
PL-0012-1348; 2010-07-12; nie; 73; 12; 10
PL-0012-1349; 2010-06-10; nie; 119; 16; 16
PL-0012-1350; 2010-08-28; nie; 61; 11; 13
PL-0012-1351; 2010-06-28; tak; 109; 5; 3
PL-0012-1352; 2010-08-11; nie; 89; 16; 17
PL-0012-1353; 2010-08-04; tak; 80; 6; 16
PL-0012-1354; 2010-06-25; nie; 91; 16; 14
PL-0012-1355; 2010-08-25; nie; 71; 12; 18
PL-0012-1356; 2010-07-19; nie; 108; 9; 8
PL-0012-1357; 2010-06-19; nie; 70; 2; 9
PL-0012-1358; 2010-08-04; nie; 99; 13; 11
PL-0012-1359; 2010-08-25; nie; 92; 6; 4
PL-0012-1360; 2010-08-01; tak; 114; 7; 1
PL-0012-1361; 2010-08-04; tak; 119; 3; 18
PL-0012-1362; 2010-07-09; nie; 91; 12; 15
PL-0012-1363; 2010-06-17; nie; 94; 10; 20
PL-0012-1364; 2010-07-11; nie; 117; 11; 11
PL-0012-1365; 2010-06-13; nie; 86; 3; 19
PL-0012-1366; 2010-09-01; tak; 60; 21; 15
PL-0012-1367; 2010-08-09; tak; 65; 7; 18
PL-0012-1368; 2010-08-08; tak; 77; 5; 11
PL-0012-1369; 2010-07-31; tak; 103; 9; 13
PL-0012-1370; 2010-06-20; nie; 71; 11; 19
PL-0012-1371; 2010-06-07; nie; 85; 6; 14
PL-0012-1372; 2010-07-24; nie; 101; 18; 12
PL-0012-1373; 2010-07-04; nie; 72; 1; 2
PL-0012-1374; 2010-07-21; nie; 84; 19; 18
PL-0012-1375; 2010-08-03; nie; 99; 20; 12
PL-0012-1376; 2010-06-06; nie; 102; 4; 9
PL-0012-1377; 2010-06-15; tak; 116; 21; 15
PL-0012-1378; 2010-09-08; nie; 95; 9; 9
PL-0012-1379; 2010-09-05; tak; 107; 4; 15
PL-0012-1380; 2010-06-10; tak; 70; 8; 18
PL-0012-1381; 2010-06-30; tak; 89; 3; 3
PL-0012-1382; 2010-06-01; tak; 79; 5; 7
PL-0012-1383; 2010-06-12; tak; 68; 16; 20
PL-0012-1384; 2010-06-04; tak; 63; 8; 11
PL-0012-1385; 2010-08-11; tak; 78; 15; 7
PL-0012-1386; 2010-06-14; nie; 119; 10; 11
PL-0012-1387; 2010-09-02; tak; 69; 14; 7
PL-0012-1388; 2010-08-07; tak; 80; 20; 7
PL-0012-1389; 2010-07-20; tak; 78; 18; 1
PL-0012-1390; 2010-08-07; nie; 66; 13; 2
PL-0012-1391; 2010-08-05; tak; 106; 21; 11
PL-0012-1392; 2010-06-08; tak; 101; 9; 11
PL-0012-1393; 2010-08-12; nie; 105; 4; 9
PL-0012-1394; 2010-06-15; tak; 115; 1; 2
PL-0012-1395; 2010-07-14; nie; 82; 7; 4
PL-0012-1396; 2010-07-17; nie; 87; 15; 15
PL-0012-1397; 2010-07-27; nie; 88; 17; 4
PL-0012-1398; 2010-07-08; tak; 98; 11; 13
PL-0012-1399; 2010-06-09; tak; 76; 5; 7
PL-0012-1400; 2010-08-25; tak; 60; 7; 13
PL-0012-1401; 2010-06-29; tak; 76; 15; 13
PL-0012-1402; 2010-08-18; tak; 75; 11; 4
PL-0012-1403; 2010-08-12; tak; 66; 17; 20
PL-0012-1404; 2010-07-29; tak; 90; 19; 13
PL-0012-1405; 2010-08-26; tak; 110; 2; 6
PL-0012-1406; 2010-07-25; nie; 76; 20; 21
PL-0012-1407; 2010-06-07; nie; 94; 21; 10
PL-0012-1408; 2010-07-21; tak; 118; 19; 3
PL-0012-1409; 2010-07-26; tak; 67; 14; 10
PL-0012-1410; 2010-07-11; nie; 63; 13; 21
PL-0012-1411; 2010-07-03; nie; 79; 15; 9
PL-0012-1412; 2010-09-06; tak; 61; 7; 9
PL-0012-1413; 2010-09-03; nie; 84; 16; 18
PL-0012-1414; 2010-07-26; nie; 90; 18; 13
PL-0012-1415; 2010-06-07; tak; 111; 10; 10
PL-0012-1416; 2010-08-13; nie; 61; 2; 11
PL-0012-1417; 2010-09-02; nie; 104; 20; 6
PL-0012-1418; 2010-06-30; tak; 91; 2; 7
PL-0012-1419; 2010-07-01; tak; 91; 19; 22
PL-0012-1420; 2010-06-03; tak; 96; 16; 14
PL-0012-1421; 2010-07-15; nie; 75; 15; 12
PL-0012-1422; 2010-07-16; nie; 63; 13; 6
PL-0012-1423; 2010-08-08; nie; 74; 7; 19
PL-0012-1424; 2010-06-04; tak; 62; 1; 12
PL-0012-1425; 2010-07-16; nie; 98; 14; 3
PL-0012-1426; 2010-07-27; nie; 117; 14; 2
PL-0012-1427; 2010-09-09; tak; 104; 22; 20
PL-0012-1428; 2010-06-04; tak; 81; 20; 7
PL-0012-1429; 2010-08-07; tak; 105; 9; 12
PL-0012-1430; 2010-06-20; nie; 83; 4; 21
PL-0012-1431; 2010-09-07; tak; 102; 6; 2
PL-0012-1432; 2010-07-04; nie; 106; 6; 5
PL-0012-1433; 2010-08-04; nie; 83; 16; 17
PL-0012-1434; 2010-08-01; nie; 73; 2; 18
PL-0012-1435; 2010-08-17; nie; 62; 18; 20
PL-0012-1436; 2010-08-29; tak; 88; 8; 14
PL-0012-1437; 2010-09-06; nie; 61; 8; 11
PL-0012-1438; 2010-07-07; tak; 89; 12; 8
PL-0012-1439; 2010-06-16; nie; 101; 2; 16
PL-0012-1440; 2010-06-13; nie; 90; 20; 1
PL-0012-1441; 2010-08-18; nie; 72; 22; 6
PL-0012-1442; 2010-07-22; nie; 104; 21; 12
PL-0012-1443; 2010-08-09; tak; 75; 7; 10
PL-0012-1444; 2010-07-03; nie; 60; 6; 15
PL-0012-1445; 2010-07-18; nie; 91; 20; 20
PL-0012-1446; 2010-08-15; tak; 93; 2; 1
PL-0012-1447; 2010-06-27; nie; 100; 22; 9
PL-0012-1448; 2010-07-08; nie; 94; 18; 13
PL-0012-1449; 2010-06-28; nie; 81; 18; 21
PL-0012-1450; 2010-08-27; nie; 104; 16; 16
PL-0012-1451; 2010-06-07; tak; 115; 12; 19
PL-0012-1452; 2010-08-26; nie; 96; 6; 12
PL-0012-1453; 2010-06-11; nie; 75; 20; 17
PL-0012-1454; 2010-06-23; tak; 103; 14; 13
PL-0012-1455; 2010-08-25; tak; 70; 6; 7
PL-0012-1456; 2010-08-21; nie; 69; 19; 9
PL-0012-1457; 2010-07-26; nie; 110; 20; 6
PL-0012-1458; 2010-06-08; tak; 119; 20; 13
PL-0012-1459; 2010-08-16; tak; 94; 2; 3
PL-0012-1460; 2010-08-22; nie; 74; 3; 8
PL-0012-1461; 2010-07-07; nie; 96; 11; 21
PL-0012-1462; 2010-08-28; nie; 113; 12; 6
PL-0012-1463; 2010-06-14; nie; 91; 16; 4
PL-0012-1464; 2010-09-07; nie; 81; 2; 4
PL-0012-1465; 2010-06-17; nie; 65; 15; 16
PL-0012-1466; 2010-06-06; nie; 75; 15; 16
PL-0012-1467; 2010-06-28; tak; 86; 4; 17
PL-0012-1468; 2010-06-21; tak; 75; 1; 21
PL-0012-1469; 2010-06-06; nie; 88; 13; 13
PL-0012-1470; 2010-07-20; tak; 93; 9; 8
PL-0012-1471; 2010-06-09; nie; 84; 2; 9
PL-0012-1472; 2010-08-17; tak; 82; 6; 12
PL-0012-1473; 2010-06-15; tak; 74; 6; 2
PL-0012-1474; 2010-07-08; tak; 74; 3; 20
PL-0012-1475; 2010-07-06; tak; 76; 20; 15
PL-0012-1476; 2010-06-23; nie; 69; 14; 5
PL-0012-1477; 2010-08-14; nie; 102; 1; 3
PL-0012-1478; 2010-06-10; nie; 66; 16; 16
PL-0012-1479; 2010-07-18; nie; 100; 15; 8
PL-0012-1480; 2010-07-15; nie; 115; 21; 11
